admitted_s,arrival_s,batch_size,comparison,e2e_ms,error,experiment,finished_s,first_token_s,output_tokens,preemptions,profile_name,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,variant
8987.725301491,8987.725301152,2,metadata,1336.054327999591,,metadata-rebuild-16x8-b2-continuous-fcfs,8989.06135548,8988.698527779,8,0,16x8,16,0,0,request-000001,8,51.83252871419037,973.2266270002583,rebuild
8989.137777089,8989.137776409,2,metadata,1162.724869000158,,metadata-rebuild-16x8-b2-continuous-fcfs,8990.300501278,8989.940477062,8,0,16x8,16,0,1,request-000000,8,51.432030857020955,802.7006530010112,rebuild
8989.137850859,8989.13785042,2,metadata,1162.6593040000444,,metadata-rebuild-16x8-b2-continuous-fcfs,8990.300509724,8989.940481316,8,0,16x8,16,0,1,request-000001,8,51.43262971432705,802.630895999755,rebuild
8990.381896029,8990.38189531,2,metadata,1145.351416000267,,metadata-rebuild-16x8-b2-continuous-fcfs,8991.527246726,8991.183511965,8,0,16x8,16,0,2,request-000000,8,49.104965857103316,801.6166550005437,rebuild
8990.381961163,8990.381960857,2,metadata,1145.294317000662,,metadata-rebuild-16x8-b2-continuous-fcfs,8991.527255174,8991.183517197,8,0,16x8,16,0,2,request-000001,8,49.10542528575336,801.5563400003884,rebuild
8991.60803724,8991.608036532,2,metadata,1139.491400001134,,metadata-rebuild-16x8-b2-continuous-fcfs,8992.747527932,8992.401102365,8,0,16x8,16,0,3,request-000000,8,49.489366714364486,793.0658330005826,rebuild
8991.608102762,8991.60810241,2,metadata,1139.4338169993716,,metadata-rebuild-16x8-b2-continuous-fcfs,8992.747536227,8992.401107609,8,0,16x8,16,0,3,request-000001,8,49.48980257151042,793.0051989987987,rebuild
8992.825656025,8992.825655357,2,metadata,1158.2688139988022,,metadata-rebuild-16x8-b2-continuous-fcfs,8993.983924171,8993.630119052,8,0,16x8,16,0,4,request-000000,8,50.543588428419234,804.4636949998676,rebuild
8992.825714074,8992.825713695,2,metadata,1158.2179430006363,,metadata-rebuild-16x8-b2-continuous-fcfs,8993.983931638,8993.630123838,8,0,16x8,16,0,4,request-000001,8,50.54397142859151,804.4101430004957,rebuild
8994.173321696,8994.173320932,2,metadata,1107.2377480013529,,metadata-cached-16x8-b2-continuous-fcfs,8995.28055868,8994.941137228,8,0,16x8,16,0,0,request-000000,8,48.488778857323005,767.8162960000918,cached
