admitted_s,arrival_s,backend,batch_size,e2e_ms,error,finished_s,first_token_s,output_tokens,preemptions,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,workload
13110.374325143,13110.374324613,fp16,4,414.61982100008754,,13110.788944434,13110.427150234,8,0,16,0,0,request-000000,8,51.68488571429667,52.82562100001087,16x8
13110.37437527,13110.374374998,fp16,4,414.578124999025,,13110.788953123,13110.427153838,8,0,16,0,0,request-000001,8,51.6856121427866,52.77883999951882,16x8
13110.374389325,13110.374389094,fp16,4,414.56905999984883,,13110.788958154,13110.427155078,8,0,16,0,0,request-000002,8,51.68615371439955,52.76598399905197,16x8
13110.527694062,13110.52769317,fp16,4,412.09900500143704,,13110.939792175,13110.578743276,8,0,16,0,0,request-000003,8,51.578414142828215,51.050106001639506,16x8
13110.982271522,13110.982270867,fp16,4,418.28191300010076,,13111.40055278,13111.041872876,8,0,16,0,1,request-000000,8,51.23998628576893,59.60200899971824,16x8
13110.982330991,13110.982330663,fp16,4,418.23104299874103,,13111.400561706,13111.041876235,8,0,16,0,1,request-000001,8,51.24078157132317,59.54557199947885,16x8
13110.982348363,13110.982348057,fp16,4,418.218106000495,,13111.400566163,13111.04187758,8,0,16,0,1,request-000002,8,51.24122614272762,59.529523001401685,16x8
13110.982361454,13110.982361169,fp16,4,418.2096799995634,,13111.400570849,13111.04187882,8,0,16,0,1,request-000003,8,51.24171842856283,59.517650999623584,16x8
13111.434612056,13111.43461139,fp16,4,415.7666220016836,,13111.850378012,13111.489422993,8,0,16,0,2,request-000000,8,51.5650027144667,54.81160300041665,16x8
13111.434664906,13111.434664586,fp16,4,415.7210559988016,,13111.850385642,13111.489426184,8,0,16,0,2,request-000001,8,51.56563685704896,54.7615979994589,16x8
13111.434680198,13111.434679927,fp16,4,415.7106259990542,,13111.850390553,13111.489427417,8,0,16,0,2,request-000002,8,51.56616228565066,54.74748999949952,16x8
13111.434692842,13111.434692618,fp16,4,415.7029389989475,,13111.850395557,13111.489428836,8,0,16,0,2,request-000003,8,51.566674428613624,54.73621799865214,16x8
13111.886167475,13111.886166875,fp16,4,423.797610001202,,13112.309964485,13111.943860238,8,0,16,0,3,request-000000,8,52.300606714457636,57.6933629999985,16x8
13111.886222246,13111.88622186,fp16,4,423.7508139995043,,13112.309972674,13111.943863684,8,0,16,0,3,request-000001,8,52.30128428567176,57.641823999802,16x8
13111.886237919,13111.886237713,fp16,4,423.7398759996722,,13112.309977589,13111.94386476,8,0,16,0,3,request-000002,8,52.30183271435505,57.62704699918686,16x8
13111.886250473,13111.88625019,fp16,4,423.7320609991002,,13112.309982251,13111.943865794,8,0,16,0,3,request-000003,8,52.30235099978537,57.615604000602616,16x8
13112.34448613,13112.344485518,fp16,4,397.6021349990333,,13112.742087653,13112.398422402,8,0,16,0,4,request-000000,8,49.09503585700544,53.93688399999519,16x8
13112.344539439,13112.344539118,fp16,4,397.5574320011219,,13112.74209655,13112.398425866,8,0,16,0,4,request-000001,8,49.09581200003491,53.88674800087756,16x8
13112.344553932,13112.344553722,fp16,4,397.54797000023245,,13112.742101692,13112.398427204,8,0,16,0,4,request-000002,8,49.09635542857619,53.87348200019915,16x8
13112.344564763,13112.344564579,fp16,4,397.5421369996184,,13112.742106716,13112.398428593,8,0,16,0,4,request-000003,8,49.096874714190825,53.86401400028262,16x8
13112.834797472,13112.834796891,fp16,4,1760.6119169995509,,13114.595408808,13113.065343132,32,0,128,0,0,request-000000,32,49.35695729029483,230.5462410004111,128x32
13112.83485237,13112.834852027,fp16,4,1760.5664530001377,,13114.59541848,13113.065347386,32,0,128,0,0,request-000001,32,49.357132064488404,230.49535900099727,128x32
13112.834870403,13112.834870043,fp16,4,1760.554434000369,,13114.595424477,13113.065349741,32,0,128,0,0,request-000002,32,49.35724954837848,230.47969800063584,128x32
13112.834884835,13112.834884576,fp16,4,1760.545216000537,,13114.595429792,13113.06535113,32,0,128,0,0,request-000003,32,49.357376193520686,230.4665540013957,128x32
